site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-01,0,0.7490,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,1,0.5870,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,2,0.8730,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,4,0.6240,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,5,0.6500,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,6,0.6650,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,7,1.0050,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,8,0.8290,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,9,0.6670,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,10,0.5560,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,11,0.5370,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,12,0.5330,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,13,0.5310,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,14,0.5430,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,15,0.5290,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,16,0.5600,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,17,0.5190,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,18,0.6180,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,19,0.6070,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,20,0.6120,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,21,0.6180,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,22,0.6030,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,23,0.6310,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,0,0.5950,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,1,0.6750,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,2,0.6340,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,4,0.7060,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,5,0.8510,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,6,1.0120,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,7,0.8220,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,8,0.4660,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,9,0.4320,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,10,0.4460,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,11,0.4690,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,12,0.4860,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,13,0.4940,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,14,0.5060,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,15,0.5150,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,16,0.6000,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,17,0.5350,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,18,0.6290,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,19,0.6810,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,20,0.6680,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,21,0.6310,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,22,0.5180,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,23,0.4940,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,0,0.4990,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
