site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-01,0,0.0209,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,1,0.0148,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,2,0.0183,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,4,0.0143,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,5,0.0155,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,6,0.0151,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,7,0.0197,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,8,0.0177,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,9,0.0160,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,10,0.0103,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,11,0.0097,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,12,0.0103,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,13,0.0096,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,14,0.0110,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,15,0.0112,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,16,0.0118,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,17,0.0107,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,18,0.0172,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,19,0.0172,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,20,0.0163,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,21,0.0190,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,22,0.0194,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,23,0.0204,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,0,0.0223,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,1,0.0212,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,2,0.0201,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,4,0.0277,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,5,0.0327,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,6,0.0334,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,7,0.0323,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,8,0.0186,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,9,0.0152,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,10,0.0146,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,11,0.0158,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,12,0.0171,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,13,0.0162,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
