site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-01,0,0.0219,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,1,0.0140,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,2,0.0291,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,4,0.0170,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,5,0.0227,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,6,0.0232,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,7,0.0445,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,8,0.0294,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,9,0.0233,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,10,0.0133,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,11,0.0114,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,12,0.0120,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,13,0.0108,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,14,0.0128,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,15,0.0130,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,16,0.0141,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,17,0.0119,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,18,0.0194,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,19,0.0200,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,20,0.0188,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,21,0.0209,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,22,0.0187,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-01,23,0.0225,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,0,0.0240,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,1,0.0258,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,2,0.0256,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,4,0.0468,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,5,0.0667,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,6,0.0808,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,7,0.0691,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,8,0.0288,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,9,0.0226,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,10,0.0214,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,11,0.0218,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,12,0.0239,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,13,0.0205,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,14,0.0209,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,15,0.0203,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,16,0.0228,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,17,0.0177,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,18,0.0289,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,19,0.0321,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,20,0.0315,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,21,0.0247,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-02,22,0.0176,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
