site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-01,0,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,1,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,2,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,3,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,4,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,5,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,6,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,7,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,8,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,9,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,10,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,11,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,12,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,13,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,14,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,16,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,17,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,18,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,19,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,20,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,21,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,22,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-01,23,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,0,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,1,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,2,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,3,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,4,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,5,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,6,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,7,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,8,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,9,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,10,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,11,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,12,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,13,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,14,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,15,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,16,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,17,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,19,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,20,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
