site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3661,2017-10-01,0, 131/02.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,1,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,2, 201/03.1,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,3,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,4, 128/02.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,5, 117/01.8,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,6, 159/01.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,7, 172/02.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,8,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,9, 303/06.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,10, 305/09.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,11, 312/11.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,12, 297/15.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,13, 299/16.8,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,14, 304/15.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,15, 319/13.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,16, 321/15.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,17, 322/13.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,18, 316/08.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,19, 315/08.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,20, 304/06.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,21, 324/04.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-01,22, 332/04.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,,,A60,0,San Jose-Jackson Street 
