5 Minutes,Flow (Veh/5 Minutes),# Lane Points,% Observed
10/15/2017 0:00,126,4,0
10/15/2017 0:05,121,4,0
10/15/2017 0:10,121,4,0
10/15/2017 0:15,115,4,0
10/15/2017 0:20,109,4,0
10/15/2017 0:25,104,4,0
10/15/2017 0:30,100,4,0
10/15/2017 0:35,95,4,0
10/15/2017 0:40,92,4,0
10/15/2017 0:45,91,4,0
10/15/2017 0:50,87,4,0
10/15/2017 0:55,80,4,0
10/15/2017 1:00,78,4,0
10/15/2017 1:05,76,4,0
10/15/2017 1:10,73,4,0
10/15/2017 1:15,72,4,0
10/15/2017 1:20,70,4,0
10/15/2017 1:25,67,4,0
10/15/2017 1:30,67,4,0
10/15/2017 1:35,67,4,0
10/15/2017 1:40,65,4,0
10/15/2017 1:45,65,4,0
10/15/2017 1:50,63,4,0
10/15/2017 1:55,63,4,0
10/15/2017 2:00,63,4,0
10/15/2017 2:05,63,4,0
10/15/2017 2:10,59,4,0
10/15/2017 2:15,56,4,0
10/15/2017 2:20,53,4,0
10/15/2017 2:25,53,4,0
10/15/2017 2:30,52,4,0
10/15/2017 2:35,49,4,0
10/15/2017 2:40,47,4,0
10/15/2017 2:45,44,4,0
10/15/2017 2:50,42,4,0
10/15/2017 2:55,40,4,0
10/15/2017 3:00,37,4,0
10/15/2017 3:05,36,4,0
10/15/2017 3:10,36,4,0
10/15/2017 3:15,34,4,0
10/15/2017 3:20,36,4,0
10/15/2017 3:25,33,4,0
10/15/2017 3:30,34,4,0
10/15/2017 3:35,33,4,0
10/15/2017 3:40,33,4,0
10/15/2017 3:45,33,4,0
10/15/2017 3:50,33,4,0
10/15/2017 3:55,32,4,0
10/15/2017 4:00,29,4,0
10/15/2017 4:05,29,4,0
10/15/2017 4:10,30,4,0
10/15/2017 4:15,30,4,0
10/15/2017 4:20,32,4,0
10/15/2017 4:25,32,4,0
10/15/2017 4:30,32,4,0
10/15/2017 4:35,32,4,0
10/15/2017 4:40,30,4,0
10/15/2017 4:45,32,4,0
10/15/2017 4:50,33,4,0
10/15/2017 4:55,33,4,0
10/15/2017 5:00,32,4,0
10/15/2017 5:05,33,4,0
10/15/2017 5:10,33,4,0
10/15/2017 5:15,33,4,0
10/15/2017 5:20,36,4,0
10/15/2017 5:25,36,4,0
10/15/2017 5:30,37,4,0
10/15/2017 5:35,37,4,0
10/15/2017 5:40,42,4,0
10/15/2017 5:45,43,4,0
10/15/2017 5:50,43,4,0
10/15/2017 5:55,43,4,0
10/15/2017 6:00,45,4,0
10/15/2017 6:05,49,4,0
10/15/2017 6:10,53,4,0
10/15/2017 6:15,56,4,0
10/15/2017 6:20,56,4,0
10/15/2017 6:25,57,4,0
10/15/2017 6:30,59,4,0
10/15/2017 6:35,67,4,0
10/15/2017 6:40,72,4,0
10/15/2017 6:45,72,4,0
10/15/2017 6:50,76,4,0
10/15/2017 6:55,75,4,0
10/15/2017 7:00,77,4,0
10/15/2017 7:05,80,4,0
10/15/2017 7:10,87,4,0
10/15/2017 7:15,92,4,0
10/15/2017 7:20,99,4,0
10/15/2017 7:25,97,4,0
10/15/2017 7:30,95,4,0
10/15/2017 7:35,105,4,0
10/15/2017 7:40,111,4,0
10/15/2017 7:45,115,4,0
10/15/2017 7:50,119,4,0
10/15/2017 7:55,119,4,0
10/15/2017 8:00,121,4,0
10/15/2017 8:05,119,4,0
10/15/2017 8:10,119,4,0
10/15/2017 8:15,123,4,0
10/15/2017 8:20,126,4,0
10/15/2017 8:25,138,4,0
10/15/2017 8:30,138,4,0
10/15/2017 8:35,145,4,0
10/15/2017 8:40,156,4,0
10/15/2017 8:45,168,4,0
10/15/2017 8:50,172,4,0
10/15/2017 8:55,174,4,0
10/15/2017 9:00,171,4,0
10/15/2017 9:05,171,4,0
10/15/2017 9:10,179,4,0
10/15/2017 9:15,181,4,0
10/15/2017 9:20,187,4,0
10/15/2017 9:25,199,4,0
10/15/2017 9:30,201,4,0
10/15/2017 9:35,217,4,0
10/15/2017 9:40,227,4,0
10/15/2017 9:45,231,4,0
10/15/2017 9:50,243,4,0
10/15/2017 9:55,241,4,0
10/15/2017 10:00,244,4,0
10/15/2017 10:05,245,4,0
10/15/2017 10:10,254,4,0
10/15/2017 10:15,266,4,0
10/15/2017 10:20,264,4,0
10/15/2017 10:25,277,4,0
10/15/2017 10:30,277,4,0
10/15/2017 10:35,287,4,0
10/15/2017 10:40,298,4,0
10/15/2017 10:45,308,4,0
10/15/2017 10:50,304,4,0
10/15/2017 10:55,306,4,0
10/15/2017 11:00,304,4,0
10/15/2017 11:05,292,4,0
10/15/2017 11:10,297,4,0
10/15/2017 11:15,308,4,0
10/15/2017 11:20,310,4,0
10/15/2017 11:25,317,4,0
10/15/2017 11:30,324,4,0
